"direccion","barrio","comuna","mas_info","materiales","longitude","latitude"
"BELGRANO AV. 1178","","","","","-58,38291365368518","-34,61329894651783"
"BELGRANO AV. 1169","","","","","-58,382813660329646","-34,612958953787285"
"BELGRANO AV. 1270","","","","","-58,38423359916381","-34,61313895661103"
"BELGRANO AV. 1265","","","","","-58,38412360365963","-34,613158955617784"
"BELGRANO AV. 1332","","","","","-58,38506356166385","-34,61348895267683"
"BELGRANO AV. 1570","","","","","-58,388503414173165","-34,61382896171419"
"BELGRANO AV. 1381","","","","","-58,385753534138146","-34,613268961064634"
"BELGRANO AV. 1690","","","","","-58,390153344594474","-34,61382896977174"
"BELGRANO AV. 492","","","","","-58,37307407271014","-34,61272891152091"
"BELGRANO AV. 1661","","","","","-58,38979336334742","-34,61332897942147"
"BELGRANO AV. 1683","","","","","-58,39006335031871","-34,61355897549246"
"BELGRANO AV. 1783","","","","","-58,39132329647189","-34,61365897936465"
"BELGRANO AV. 362","","","","","-58,37129414927284","-34,61251890763378"
"BELGRANO AV. 530","","","","","-58,37379404248966","-34,61270891548817"
"BELGRANO AV. 664","","","","","-58,37559396615403","-34,612768922897416"
"BELGRANO AV. 624","","","","","-58,375083987518416","-34,612788919953765"
"BELGRANO AV. 628","","","","","-58,37517398293823","-34,61289891788285"
"BELGRANO AV. 712","","","","","-58,376483927337766","-34,61294892313129"
"BELGRANO AV. 570","","","","","-58,37423402364906","-34,61274891672117"
"BELGRANO AV. 845","","","","","-58,378323851171395","-34,612748936670165"
"BELGRANO AV. 680","","","","","-58,37609394542545","-34,61271892647691"
"BELGRANO AV. 980","","","","","-58,3800937727473","-34,61327893321294"
"BELGRANO AV. 890","","","","","-58,37882382694597","-34,61318892907014"
"BELGRANO AV. 1645","","","","","-58,389553371967594","-34,61353897345817"
"BELGRANO AV. 418","","","","","-58,37214411292797","-34,612588910180705"
"BELGRANO AV. 764","","","","","-58,377043903864944","-34,61292892631917"
"BELGRANO AV. 265","","","","","-58,36992420975758","-34,61213890962551"
"BELGRANO AV. 960","","","","","-58,37983378499637","-34,61309893605132"
"BELGRANO AV. 745","","","","","-58,376973908458126","-34,61269893122555"
"BELGRANO AV. 1390","","","","","-58,38583352890774","-34,61352895552302"
"BELGRANO AV. 1330","","","","","-58,38506356202091","-34,613438953817635"
"BELGRANO AV. 1474","","","","","-58,387013478219515","-34,61365895831776"
"BELGRANO AV. 1572","","","","","-58,38847341629546","-34,613708964305616"
"BELGRANO AV. 945","","","","","-58,37995378093525","-34,612958939831124"
"BELGRANO AV. 1176","","","","","-58,38283365691598","-34,613318945671075"
"BELGRANO AV. 1713","","","","","-58,390783318528364","-34,61375897444567"
"BELGRANO AV. 130","","","","","-58,36820428093785","-34,6123288969065"
"BOLIVAR 1187","","","","","-58,37287401750209","-34,621648706984566"
"BOLIVAR 1471","","","","","-58,37271399955684","-34,6251086272266"
"BOLIVAR 781","","","","","-58,373194037828846","-34,61690881672365"
"BOLIVAR 191","","","","","-58,373674065954","-34,61012897376798"
"BOLIVAR 191","","","","","-58,37350407312278","-34,61012897293905"
"BOLIVAR 1551","","","","","-58,372773989959775","-34,626098604919804"
"BOLIVAR 1433","","","","","-58,37273400156822","-34,62470863645503"
"BOLIVAR 1369","","","","","-58,372784004312614","-34,624028652221064"
"BOLIVAR 1585","","","","","-58,37276398859709","-34,62634859916399"
"BOLIVAR 1321","","","","","-58,37274400799814","-34,62374865841735"
"BOLIVAR 1059","","","","","-58,372974023132336","-34,620268738969216"
"BOLIVAR 1261","","","","","-58,372814010755185","-34,62294867701945"
"BOLIVAR 1263","","","","","-58,37271401575799","-34,62283867904254"
"BOLIVAR 1439","","","","","-58,37273400121135","-34,62475863531368"
"BOLIVAR 619","","","","","-58,373264047647645","-34,61511885791236"
"BOLIVAR 707","","","","","-58,373054048727454","-34,61620883201508"
"BOUCHARD 786","","","","","-58,369534321868784","-34,598719213853826"
"BOUCHARD 432","","","","","-58,36899431876782","-34,60234912843152"
"BOUCHARD 440","","","","","-58,36917431060792","-34,60242912748398"
"BOUCHARD 644","","","","","-58,369404317301885","-34,60012918106323"
"BOUCHARD 610","","","","","-58,36949431144043","-34,60041917488771"
"BOUCHARD 710","","","","","-58,369514320859246","-34,5989792078268"
"BOUCHARD 790","","","","","-58,369534321797516","-34,59872921362577"
"BRASIL 860","","","","","-58,37664382358359","-34,62653861375519"
"BRASIL 1764","","","","","-58,390293228190416","-34,629288617623715"
"BRASIL 1748","","","","","-58,389823249372895","-34,62909861966493"
"BRASIL 908","","","","","-58,37752378296664","-34,62702860686341"
"BRASIL 1498","","","","","-58,38686337736743","-34,628658615250544"
"BRASIL 1188","","","","","-58,382493566334986","-34,628008608749916"
"BRASIL 1152","","","","","-58,38233357451261","-34,627808612534466"
"BRASIL 1350","","","","","-58,38519344980746","-34,62837861348672"
"BRASIL 1154","","","","","-58,38100363182546","-34,62763860992263"
"BRASIL AV. 60","","","","","-58,36503432249955","-34,625248586584654"
"BRASIL 1154","","","","","-58,38233357451261","-34,627808612534466"
"BRASIL 1350","","","","","-58,38519344980746","-34,62837861348672"
"BRASIL 1560","","","","","-58,387583346283876","-34,62875861648435"
"BRASIL 1264","","","","","-58,383673515563245","-34,628148611315126"
"BRASIL 562","","","","","-58,37320397567703","-34,625558619344275"
"BRASIL 628","","","","","-58,374363926249394","-34,6256286234048"
"BRASIL 744","","","","","-58,37565386898253","-34,626028620567084"
"BRASIL 746","","","","","-58,37567386806754","-34,6260386204364"
"BRASIL 850","","","","","-58,37664382358359","-34,62653861375519"
"BRASIL 480","","","","","-58,37226401661041","-34,62537861886839"
"BRASIL AV. 230","","","","","-58,36848417719147","-34,62521860408781"
"BRASIL AV. 380","","","","","-58,37000411236449","-34,62531860921648"
"BRASIL 1180","","","","","-58,38100363182546","-34,62763860992263"
"BRASIL AV. 158","","","","","-58,36704423678943","-34,62537859341486"
"BRASIL 1492","","","","","-58,386823378411286","-34,6287486130006"
"BRASIL AV. 60","","","","","-58,36501432355714","-34,625218587172036"
"BRASIL AV. 390","","","","","-58,37086407509086","-34,625458610214345"
"BRASIL AV. 56","","","","","-58,36492432721073","-34,625238586276794"
"BRASIL AV. 150","","","","","-58,36693424142926","-34,62537859287861"
"CALABRIA AV. 1215","","","","","-58,35826467591165","-34,615728770893654"
"CALABRIA AV. 1225","","","","","-58,358214671251666","-34,616678748969505"
"CALABRIA AV. 1600","","","","","-58,35802467000227","-34,61797871837471"
"CALLAO AV. 730","","","","","-58,39293332273985","-34,600479287863436"
"CALLAO AV. 791","","","","","-58,39282333173379","-34,59986930123684"
"CALLAO AV. 274","","","","","-58,3923433089027","-34,605899161369685"
"CALLAO AV. 460","","","","","-58,392493319149914","-34,603579215016886"
"CALLAO AV. 357","","","","","-58,39222332124819","-34,60487918404841"
"CALLAO AV. 695","","","","","-58,39277332241502","-34,601469264505276"
"CALLAO AV. 52","","","","","-58,392203295089004","-34,608659097729884"
"CALLAO AV. 686","","","","","-58,392473340562205","-34,60069928060016"
"CALLAO AV. 362","","","","","-58,39208333000803","-34,604479192487936"
"CALLAO AV. 141","","","","","-58,391813320034395","-34,60746912297009"
"CALLAO AV. 274","","","","","-58,3923433089027","-34,605899161369685"
"CALLAO AV. 250","","","","","-58,39240330394418","-34,60623915390759"
"CALLAO AV. 251","","","","","-58,39216331527774","-34,60606915661308"
"CALLAO AV. 35","","","","","-58,39180331274087","-34,60854909828556"
"CALLAO AV. 35","","","","","-58,39180331274087","-34,60854909828556"
"CALLAO AV. 145","","","","","-58,39192331568208","-34,6074291244197"
"CALLAO AV. 734","","","","","-58,39289332471192","-34,60043928858028"
"CALLAO AV. 583","","","","","-58,392643321896536","-34,60230924471371"
"CALLAO AV. 485","","","","","-58,39223333025481","-34,60355921420332"
"CALLAO AV. 27","","","","","-58,39179331309108","-34,6085590980086"
"CALLAO AV. 715","","","","","-58,392623332952724","-34,60087927722777"
"CALLAO AV. 625","","","","","-58,39270332458061","-34,60157926165487"
"CALLAO AV. 68","","","","","-58,39223329603873","-34,60834910494786"
"CALLAO AV. 546","","","","","-58,392613321947174","-34,602479240690165"
"CALLAO AV. 462","","","","","-58,392303328231996","-34,603429217510076"
"CALLAO AV. 315","","","","","-58,39196332813909","-34,605449169777884"
"WALSH, MARIA ELENA 1213","","","","","-58,35160494883091","-34,616848712908"
"SISA, BARTOLINA 1799","","","","","-58,35141495121905","-34,61763869395274"
"YMA SUMAC 1035","","","","","-58,35440481841108","-34,61857868705329"
"DEGLIOUMINI, DELIA 1078","","","","","-58,35282489103573","-34,61773869853357"
"8 DE MARZO 1718","","","","","-58,350764984117816","-34,61686870836325"
"SIMONE DE BEAUVOIR 1785","","","","","-58,35303487854594","-34,618248687915674"
"YMA SUMAC 1102","","","","","-58,35218491411272","-34,61828868286504"
"PARRA, VIOLETA 1703","","","","","-58,35274489797096","-34,61723870955588"
"DEGLIOUMINI, DELIA 846","","","","","-58,355434776249886","-34,618398696176534"
"DEGLIOUMINI, DELIA 1079","","","","","-58,35280489187927","-34,617738698436206"
"YMA SUMAC 954","","","","","-58,354094831201444","-34,61861868463105"
"WALSH, MARIA ELENA 1141","","","","","-58,352344916123954","-34,617058711717"
"DEGLIOUMINI, DELIA 1118","","","","","-58,352324912267186","-34,617718696556196"
"YMA SUMAC 934","","","","","-58,382193912041956","-34,58133967179294"
"YMA SUMAC 967","","","","","-58,37482419917867","-34,58463956065269"
"WALSH, MARIA ELENA 1103","","","","","-58,35282489139184","-34,61768869967475"
"WALSH, MARIA ELENA 1290","","","","","-58,35094497780751","-34,61668871334745"
"8 DE MARZO 1778","","","","","-58,35052499011065","-34,617448693957606"
"YMA SUMAC 951","","","","","-58,35414482937746","-34,61857868578746"
"CHABUCA GRANDA 1759","","","","","-58,3548548012118","-34,618328694950215"
"DEGLIOUMINI, DELIA 853","","","","","-58,35538477871497","-34,61834869707427"
"YMA SUMAC 1102","","","","","-58,352164914885066","-34,618298682539454"
"DEGLIOUMINI, DELIA 919","","","","","-58,35469480874388","-34,61821869668185"
"YMA SUMAC 1100","","","","","-58,35213491615041","-34,61829868239344"
"WALSH, MARIA ELENA 1096","","","","","-58,352794895862054","-34,61723870979927"
"DEGLIOUMINI, DELIA 879","","","","","-58,355124790251175","-34,61826869763425"
"WALSH, MARIA ELENA 1104","","","","","-58,352394904899135","-34,61833868274605"
"CALVO, CARLOS 909","","","","","-58,37889377738037","-34,61971878040093"
"CALVO, CARLOS 515","","","","","-58,37318402012683","-34,6194487587082"
"CALVO, CARLOS 1569","","","","","-58,38838337715184","-34,61971882672723"
"CALVO, CARLOS 1391","","","","","-58,38565349178432","-34,61978881179894"
"CALVO, CARLOS 399","","","","","-58,37140409584152","-34,61935875208192"
"CALVO, CARLOS 1577","","","","","-58,38850337051904","-34,61993882229265"
"CALVO, CARLOS 877","","","","","-58,37837380002511","-34,61961878014584"
"CALVO, CARLOS 1445","","","","","-58,387033433156525","-34,61984881716791"
"CALVO, CARLOS 1305","","","","","-58,384533539447204","-34,61972880770011"
"CALVO, CARLOS 809","","","","","-58,37757383326514","-34,61968877464501"
"CALVO, CARLOS 751","","","","","-58,37662387375955","-34,61962877137958"
"CALVO, CARLOS 339","","","","","-58,37019414687426","-34,61935874618207"
"CALVO, CARLOS 221","","","","","-58,36998415594521","-34,61932874584287"
"CALVO, CARLOS 1605","","","","","-58,38890335272086","-34,62006882127943"
"CALVO, CARLOS 445","","","","","-58,37211406539736","-34,61942875394654"
"CALVO, CARLOS 261","","","","","-58,36929418590266","-34,6192087452176"
"CALVO, CARLOS 447","","","","","-58,372144064132094","-34,61942875409283"
"CALVO, CARLOS 663","","","","","-58,37526393097488","-34,619648764288755"
"CALVO, CARLOS 645","","","","","-58,3750239411683","-34,61963876334631"
"CALVO, CARLOS 563","","","","","-58,37375399501643","-34,61959875806474"
"CALVO, CARLOS 755","","","","","-58,3766938712356","-34,6195687730904"
"CALVO, CARLOS 953","","","","","-58,37943375532013","-34,61961878531812"
"CALVO, CARLOS 407","","","","","-58,37178407895858","-34,619478751196176"
"CALVO, CARLOS 1747","","","","","-58,39082327203497","-34,620028831570245"
"CALVO, CARLOS 1747","","","","","-58,39069327680268","-34,62012882865314"
"CALVO, CARLOS 1655","","","","","-58,38961332313543","-34,6200188258882"
"CALVO, CARLOS 1671","","","","","-58,389853313585675","-34,61993882888611"
"CALVO, CARLOS 1709","","","","","-58,3904032901763","-34,619968830887935"
"CALVO, CARLOS 1489","","","","","-58,38633346267779","-34,61984881374985"
"CALVO, CARLOS 1431","","","","","-58,38623346703801","-34,61982881371801"
"CALVO, CARLOS 1437","","","","","-58,386023475180004","-34,61992881041051"
"CALVO, CARLOS 1277","","","","","-58,38400356201351","-34,61969880579738"
"CALVO, CARLOS 1227","","","","","-58,383393587668046","-34,61970880259138"
